Country,DataType,01-20,02-20,03-20,04-20,05-20,06-20,07-20,08-20,09-20,10-20,11-20,12-20,01-21,02-21,03-21,04-21,05-21,06-21,07-21,08-21,09-21,10-21,11-21,12-21
Libya,Death,0,0,0,2,2,18,49,163,309,288,309,276,364,297,479,356,96,65,316,704,389,427,349,240
Liechtenstein,Cases,0,0,69,10,0,0,6,19,12,455,711,876,320,81,101,265,75,28,54,201,154,125,1117,1417
Liechtenstein,Death,0,0,0,1,0,0,0,0,0,2,14,27,9,2,1,1,1,1,0,0,1,1,0,6
Lithuania,Cases,0,1,363,905,290,136,262,827,1877,10846,45606,81225,36461,14361,16712,30362,25588,3978,4024,15886,31983,75294,59554,47358
Lithuania,Death,0,0,4,26,22,6,2,6,8,75,466,1162,981,414,311,346,334,101,23,149,426,864,816,628
Luxembourg,Cases,0,0,1812,1092,159,205,1950,1186,1747,8613,16562,11719,3925,4632,5902,5363,2772,763,3029,1794,2326,3772,6945,13306
Luxembourg,Death,0,0,21,67,21,0,4,10,0,26,148,183,82,58,104,49,20,4,4,8,5,9,29,40
Madagascar,Cases,0,0,46,75,626,1367,8534,3975,1514,560,230,373,1029,766,4433,12271,4252,852,528,129,728,29,704,5949
Madagascar,Death,0,0,0,0,6,14,85,85,37,14,7,10,18,16,97,228,192,70,38,8,4,3,4,60
Malawi,Cases,0,0,0,36,242,940,2716,1458,206,150,95,443,16914,7835,1580,511,257,1559,15683,8039,1058,214,105,12285
Malawi,Death,0,0,0,3,1,10,93,60,4,5,1,4,498,335,76,31,7,39,418,533,104,18,4,49
Malaysia,Cases,8,17,2601,3179,1760,818,325,358,1795,19665,32937,44788,96651,83356,43266,59425,156820,173346,343507,612085,486706,220968,156261,121731
Malaysia,Death,0,0,37,57,13,6,3,1,7,113,108,103,275,361,135,220,1223,2312,3689,7358,9479,2541,1458,1037
Maldives,Cases,0,0,18,377,1204,588,1411,3855,2288,1305,1310,708,2037,3737,4100,5456,34159,8634,3501,3565,3508,2918,3735,3950
Maldives,Death,0,0,0,0,4,2,8,11,5,4,8,1,4,10,5,6,88,41,8,5,5,12,7,11
Mali,Cases,0,0,18,464,760,908,341,251,325,427,1134,2341,979,274,1622,3773,407,158,148,289,321,819,1266,3236
Mali,Death,0,0,0,25,50,38,8,2,5,5,16,117,61,22,31,96,33,9,7,7,9,15,42,52
Malta,Cases,0,0,169,276,151,51,66,1131,1138,2946,3690,2799,4959,4455,6436,1207,228,80,3654,1748,956,490,1676,11630
Malta,Death,0,0,0,4,5,0,0,3,31,27,71,76,45,44,77,20,4,1,3,17,16,4,7,8
Marshall Islands,Cases,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,Cases,0,0,111,56,22,42,27,327,702,2275,1595,586,279,376,803,2942,1488,307,9467,14753,4014,2063,1829,4021
Martinique,Death,0,0,2,12,0,0,1,1,4,10,9,2,1,1,5,20,25,3,26,331,166,55,27,68
Mauritania,Cases,0,0,5,2,475,3619,2033,712,440,161,761,5218,2818,719,637,530,1092,1253,4615,7741,2409,1233,1893,1888
Mauritania,Death,0,0,0,1,20,103,28,2,2,2,9,152,94,21,10,6,8,24,69,149,59,20,34,31
Mauritius,Cases,0,0,125,189,3,6,3,11,25,60,63,23,41,42,344,172,205,482,2301,6462,5019,5948,36705,8407
Mauritius,Death,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,11,53,86,373,218
Mayotte,Cases,0,0,82,359,1204,732,359,339,478,587,815,709,2341,8630,1808,647,-769,87,82,310,447,281,418,938
Mayotte,Death,0,0,0,4,17,12,4,1,2,2,5,6,6,41,51,9,3,1,0,1,3,7,0,0
Mexico,Cases,0,4,2468,26129,89333,146293,205188,168269,142990,168402,195110,314119,423970,192454,135246,90030,63303,96633,353768,493897,268847,121884,70024,88356
Mexico,Death,0,0,52,3903,15243,19739,23029,18531,12648,12235,15375,22403,37295,23225,12764,7320,3827,2880,7525,21019,15931,7839,3922,3174
Micronesia (Federated States of),Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,Cases,0,0,35,29,4,3,14,47,76,137,249,244,600,460,326,164,50,72,296,299,112,102,322,1319
Monaco,Death,0,0,0,1,0,0,0,0,1,0,1,0,9,11,4,4,0,1,0,2,0,1,0,2
Mongolia,Cases,0,0,12,24,141,35,71,10,12,27,438,404,559,1093,5495,27138,21154,56249,47184,47805,86538,52793,21211,6877
Mongolia,Death,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,94,162,272,252,111,365,416,258,54
Montenegro,Cases,0,0,91,216,2,174,2535,1668,6123,7251,15767,12443,13079,13708,14982,6035,2214,606,1534,12877,15638,12293,12750,10953
Montenegro,Death,0,0,2,5,2,3,34,48,64,126,186,191,119,192,257,219,91,26,19,87,194,176,193,94
Montserrat,Cases,0,0,5,6,0,0,2,0,0,0,0,0,0,7,0,0,0,0,1,8,5,7,3,1
Montserrat,Death,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Cases,0,0,574,3721,3357,4483,10726,37077,58593,91641,134719,80997,31498,12253,11767,14789,7859,11369,84638,232521,71025,12889,3640,11141
Morocco,Death,0,0,33,132,34,20,118,758,1011,1431,2094,1509,871,340,190,202,120,145,436,2755,1599,400,107,68
Mozambique,Cases,0,0,8,68,168,629,919,1957,4640,4049,2744,2672,19063,20118,8116,2285,863,5033,43546,24025,4346,565,236,24100
Mozambique,Death,0,0,0,0,2,3,5,12,36,30,38,32,197,263,131,39,22,36,529,419,51,13,11,35
Myanmar,Cases,0,0,14,135,73,71,50,529,11506,38123,36780,33917,15092,1542,518,351,798,13526,139838,96617,61436,34151,21452,8009
Myanmar,Death,0,0,1,5,0,0,0,0,278,909,681,741,434,61,7,3,8,117,5987,5658,2245,908,390,157
Namibia,Cases,0,0,11,5,7,159,1849,5236,3590,1642,1410,8953,9887,4704,5204,4038,6487,33004,28512,5978,2447,1297,274,17560
Namibia,Death,0,0,0,0,0,0,10,62,46,12,18,44,145,66,96,115,181,637,1478,200,250,41,21,43
Nauru,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Cases,5,0,0,52,1513,11753,5725,19374,37288,91015,59885,25837,9940,3025,3093,45726,232409,72218,54727,65277,30766,16611,8355,6780
Nepal,Death,0,0,0,0,8,22,28,193,332,780,859,438,195,45,20,248,4088,1658,712,875,365,259,110,65
Netherlands,Cases,0,1,11613,26103,6961,3794,3843,15813,46721,219785,167393,263777,178404,105560,176339,215966,151095,35499,177412,73379,60417,120791,488525,473148
Netherlands,Death,0,0,846,3665,1155,158,59,75,173,938,1932,1936,2537,1558,946,586,476,121,76,172,158,227,937,1477
New Caledonia,Cases,0,0,15,2,1,2,1,1,4,1,4,5,9,11,63,3,4,1,5,2,7040,3540,1307,603
New Caledonia,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,146,11,5
New Zealand,Cases,0,1,599,482,22,24,32,175,79,109,97,103,141,73,118,112,60,66,129,694,629,2132,4971,2395
New Zealand,Death,0,0,1,18,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,16,7
Nicaragua,Cases,0,0,4,9,871,1129,1066,579,487,278,205,200,163,150,184,172,335,771,988,1275,1990,1593,464,166
Nicaragua,Death,0,0,1,2,31,39,42,21,14,5,4,5,4,4,5,4,4,5,4,4,4,4,4,4
Niger,Cases,0,0,20,693,237,117,59,39,20,23,296,1562,1308,223,263,203,182,78,127,217,151,315,623,358
Niger,Death,0,0,3,29,32,3,2,0,0,0,1,24,57,13,14,4,1,1,2,3,2,10,45,15
Nigeria,Cases,0,5,106,1393,7923,14971,16995,10714,4639,3843,4559,19019,43047,24175,7105,2164,1205,1025,5793,17897,13679,6122,2152,27295
Nigeria,Death,0,0,1,42,215,286,288,134,98,32,29,105,289,319,149,6,8,21,29,306,247,174,80,53
Niue,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,Cases,0,1,328,1088,699,3998,4267,3568,3445,12511,29966,20916,9189,9789,25724,21728,2902,410,615,19244,14420,10795,12570,8924
North Macedonia,Death,0,0,9,62,54,165,178,114,134,243,737,725,345,271,612,991,553,71,9,408,758,420,437,366
Northern Mariana Islands (Commonwealth of the),Cases,0,0,2,12,8,8,12,14,14,22,9,16,10,11,16,5,15,0,7,52,26,43,500,2353
Northern Mariana Islands (Commonwealth of the),Death,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
Norway,Cases,0,6,4619,2809,686,425,330,1528,3137,6118,15200,12920,13251,8132,23607,16581,12003,5836,6162,20456,28512,17502,55519,122928
Norway,Death,0,0,20,171,41,13,6,9,6,6,47,101,124,57,34,77,30,9,7,21,49,32,171,213
"occupied Palestinian territory, including east Jerusalem",Cases,0,0,117,210,282,1816,12073,13831,20177,14200,31526,55247,23151,27519,60241,53564,11586,5664,2570,23414,61029,19475,6657,9504
"occupied Palestinian territory, including east Jerusalem",Death,0,0,1,1,3,3,73,84,187,185,252,678,481,224,609,618,246,65,40,71,400,310,118,128
Oman,Cases,0,9,183,2138,7976,27623,39089,6385,12863,15849,9050,5020,4861,6262,16560,34035,22930,49312,27704,5669,1438,512,259,935
Oman,Death,0,0,0,9,31,120,245,256,250,273,210,74,28,33,99,332,324,711,724,227,32,15,2,3
Other,Cases,0,699,12,0,29,0,0,0,0,0,0,4,0,0,0,13,6,0,0,0,0,0,0,0
Other,Death,0,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,Cases,0,8,1857,13720,52679,136877,64835,16703,16114,19380,62192,79216,63499,33984,83227,147754,98113,35339,67490,126470,83266,27218,11287,10021
Pakistan,Death,0,0,25,320,1098,2761,1556,324,181,311,1179,2022,1518,1180,1496,3246,2925,1475,1014,2310,1902,710,269,193
Palau,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,2
Palau,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,Cases,0,0,989,5211,6153,18668,30484,27146,19212,20192,30586,73550,75509,20328,13640,9291,13210,23556,30964,22206,9552,5547,4980,13435
Panama,Death,0,0,24,152,148,274,754,586,353,314,351,873,1246,576,272,113,142,159,262,238,165,92,47,63
Papua New Guinea,Cases,0,0,1,7,0,3,52,387,75,55,66,124,71,428,4675,5007,4704,1252,546,317,2029,9260,5366,921
Papua New Guinea,Death,0,0,0,0,0,0,2,3,2,0,0,2,0,4,47,55,47,12,18,0,37,136,176,44
