Country,Unit,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Italy,per million inhabitant,19,1912,2305,2402,3925,2089,2488,2649,4105,2285,2694,2927,4350,2462,2863,3167,4568,2614,2992,3360,4699
Jamaica,per million inhabitant,4,34,41,43,71,37,45,48,74,41,48,53,79,44,51,57,83,47,54,61,85
Japan,per million inhabitant,0,255,306,319,517,278,330,351,541,303,357,387,573,326,379,418,601,346,396,444,618
Jersey,,1,1,1,2,4,1,2,2,4,1,2,2,4,2,2,3,4,2,2,3,5
Jordan,per million inhabitant,17,179,220,230,388,198,239,256,407,218,260,285,432,236,278,309,455,252,291,329,468
Kazakhstan,per million inhabitant,2,283,362,382,692,319,400,433,729,358,442,489,779,395,476,538,823,425,502,577,850
Kenya,per million inhabitant,0,72,85,88,139,78,91,97,145,84,98,106,153,90,104,114,160,95,108,120,165
Korea,,333,82,105,111,199,93,116,125,210,104,128,141,224,114,138,155,237,123,145,166,244
Kosovo[1],,1,42,51,54,90,46,56,60,94,51,61,66,100,55,65,72,106,59,68,77,109
Kuwait,per million inhabitant,0,33,39,41,64,36,42,44,67,39,45,49,71,42,48,52,74,44,50,55,76
Kyrgyzstan,per million inhabitant,1,44,57,61,112,50,63,69,118,57,70,78,126,63,76,86,134,68,80,93,138
Lao People's Democratic Republic,,26,6,8,9,19,7,10,11,20,8,11,12,21,9,12,14,23,10,13,15,24
Latvia,per million inhabitant,25,65,80,84,143,72,87,94,150,80,95,104,159,86,102,114,168,92,107,121,173
Lebanon,per million inhabitant,13,134,168,177,308,150,184,198,324,167,202,222,345,182,216,243,364,195,228,259,375
Libya,per million inhabitant,8,74,87,90,136,80,92,97,142,86,99,106,150,91,104,113,156,96,108,119,160
Liechtenstein,per million inhabitant,-2,1,1,1,3,1,1,1,3,1,2,2,3,1,2,2,4,1,2,2,4
Lithuania,per million inhabitant,52,103,125,131,216,113,135,144,226,124,147,160,240,134,156,173,252,142,164,184,259
Luxembourg,per million inhabitant,6,13,16,17,28,14,17,18,30,16,19,21,32,17,20,23,34,18,21,24,35
Madagascar,per million inhabitant,1,15,19,20,35,17,21,22,37,19,23,25,39,20,24,27,42,22,26,29,43
Malawi,per million inhabitant,1,37,49,52,97,43,54,59,103,48,61,68,110,54,66,75,116,58,69,80,120
Malaysia,per million inhabitant,5,499,648,685,1262,566,717,778,1330,640,795,884,1423,707,859,974,1505,765,908,1048,1555
Maldives,per million inhabitant,2,4,5,5,11,4,6,6,11,5,6,7,12,6,7,8,13,6,8,9,13
