Country,Unit,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Netherlands,per million inhabitant,3866,40884,45368,47324,63278,45964,51549,55276,74298,51119,57621,63209,85185,55797,62525,69937,92795,59910,66228,75390,98621
New Zealand,per million inhabitant,63,207,244,260,393,249,295,326,484,292,346,392,574,331,386,448,638,365,417,493,686
Nicaragua,per million inhabitant,6,181,202,212,287,205,232,249,339,230,260,286,390,252,283,318,426,271,301,344,453
Niger,per million inhabitant,3,101,115,121,170,117,134,145,204,133,153,170,237,147,168,191,261,160,179,207,279
Nigeria,per million inhabitant,392,3169,3519,3671,4913,3565,4000,4290,5772,3967,4473,4908,6619,4331,4855,5432,7212,4651,5143,5857,7666
North Macedonia,per million inhabitant,926,2923,3222,3353,4416,3262,3634,3883,5151,3606,4039,4412,5877,3917,4366,4860,6384,4192,4613,5224,6772
Norway,per million inhabitant,1673,5371,6154,6495,9278,6258,7232,7882,11201,7157,8291,9266,13100,7973,9147,10440,14428,8691,9793,11391,15444
"Occupied Palestinian territory, including east Jerusalem",,2489,6191,6852,7141,9494,6940,7764,8314,11120,7701,8660,9484,12726,8391,9383,10476,13848,8997,9929,11281,14708
Oman,per million inhabitant,99,4066,4523,4723,6351,4584,5154,5534,7475,5110,5774,6344,8586,5587,6274,7030,9363,6007,6652,7587,9957
Pakistan,per million inhabitant,11,16473,17921,18553,23706,18114,19918,21121,27265,19779,21879,23684,30782,21290,23463,25857,33240,22618,24659,27618,35121
Panama,per million inhabitant,1496,6354,6988,7265,9524,7073,7863,8391,11084,7803,8723,9514,12625,8465,9417,10467,13703,9047,9942,11239,14527
Papua New Guinea,per million inhabitant,2,525,607,643,937,618,721,790,1139,713,833,936,1340,799,923,1059,1480,875,991,1160,1587
Paraguay,per million inhabitant,149,6263,7000,7322,9946,7099,8017,8630,11758,7946,9016,9935,13549,8716,9822,11041,14801,9392,10431,11938,15759
Peru,per million inhabitant,513,28793,31186,32231,40746,31505,34486,36475,46628,34256,37727,40709,52438,36753,40344,44300,56500,38948,42321,47210,59610
Philippines,per million inhabitant,20,38002,42375,44283,59841,42956,48403,52037,70587,47984,54324,59774,81204,52545,59106,66334,88626,56556,62718,71652,94307
Poland,per million inhabitant,1463,56135,63396,66564,92397,64361,73405,79439,110241,72709,83237,92285,127870,80283,91177,103179,140193,86943,97174,112009,149626
Portugal,per million inhabitant,6474,17868,20147,21141,29251,20450,23289,25183,34852,23070,26375,29216,40386,25448,28868,32635,44255,27539,30750,35407,47216
Qatar,per million inhabitant,778,3287,3643,3798,5064,3690,4133,4429,5938,4099,4615,5058,6801,4470,5004,5592,7405,4796,5298,6024,7867
Reunion,per million inhabitant,3039,1084,1240,1308,1863,1261,1455,1585,2247,1440,1667,1861,2626,1603,1837,2095,2891,1746,1966,2285,3094
Romania,per million inhabitant,231,24551,27586,28910,39708,27989,31769,34292,47166,31478,35879,39661,54535,34644,39198,44215,59686,37428,41705,47905,63629
Russian Federation,per million inhabitant,942,130434,140400,144750,180211,141726,154141,162424,204706,153185,167637,180058,228906,163582,178537,195012,245822,172724,186769,207133,258771
Rwanda,per million inhabitant,525,1544,1781,1884,2727,1812,2107,2304,3309,2085,2428,2723,3884,2332,2687,3079,4286,2549,2883,3367,4594
Saint Barthelemy,,49,25,29,30,44,29,34,37,54,34,39,44,64,38,44,50,70,41,47,55,76
Saint Lucia,per million inhabitant,1405,192,221,234,339,225,262,287,411,259,302,339,483,290,334,383,533,317,358,419,571
Saint Martin,,57,54,60,63,84,61,68,73,99,68,76,84,113,74,83,93,123,79,88,100,131
Saint Vincent and the Grenadines,per million inhabitant,468,86,100,107,158,102,120,132,193,119,140,157,228,134,155,179,252,147,167,196,271
San Marino,per million inhabitant,9345,107,120,126,175,122,139,151,209,138,158,175,242,152,173,195,265,165,184,212,283
Saudi Arabia,per million inhabitant,119,7424,8283,8658,11715,8397,9467,10181,13827,9385,10631,11702,15913,10281,11571,12991,17371,11070,12280,14036,18488
Senegal,per million inhabitant,28,1052,1201,1267,1800,1221,1408,1533,2169,1394,1611,1798,2533,1550,1775,2023,2787,1688,1899,2205,2982
Serbia,per million inhabitant,887,17438,19512,20416,27793,19787,22370,24093,32888,22171,25177,27761,37922,24334,27445,30872,41441,26235,29157,33393,44134
Sierra Leone,per million inhabitant,50,95,109,115,163,111,128,139,196,126,146,163,229,140,161,183,252,153,172,199,269
Singapore,per million inhabitant,238,4227,4978,5306,7978,5078,6014,6638,9824,5942,7031,7967,11647,6725,7852,9094,12922,7414,8472,10007,13898
Sint Maarten,,202,64,70,74,95,71,80,85,111,79,90,98,133,86,97,108,143,92,103,117,150
Slovakia,per million inhabitant,2391,11887,13478,14259,19494,13661,15699,17090,23399,15571,18247,20273,28518,17243,19946,22630,31094,18764,21304,24634,32842
Slovenia,per million inhabitant,3100,6189,6866,7198,9425,6944,7811,8403,11086,7757,8895,9757,13264,8468,9618,10759,14359,9115,10195,11612,15103
Somalia,per million inhabitant,16,322,359,378,501,364,411,444,593,408,471,519,713,448,511,575,774,484,543,622,815
South Africa,per million inhabitant,1195,45784,50579,52931,68708,51129,57272,61463,80474,56887,64951,71055,95900,61924,70070,78158,103662,66507,74162,84196,108930
South Sudan,per million inhabitant,97,223,256,272,381,260,302,331,463,299,355,398,570,334,391,447,624,366,419,489,660
Spain,per million inhabitant,7163,80075,88185,92163,118846,89115,99505,106592,138745,98854,112491,122814,164834,107373,121149,134827,177960,115123,128070,145039,186870
Sri Lanka,per million inhabitant,129,8167,9193,9697,13072,9311,10625,11522,15589,10543,12268,13574,18889,11620,13363,15093,20549,12601,14238,16385,21676
Sudan,per million inhabitant,38,613,673,703,901,680,757,810,1049,753,854,931,1243,816,918,1020,1340,874,970,1096,1407
Suriname,per million inhabitant,383,723,815,860,1161,825,943,1023,1386,935,1089,1206,1680,1031,1187,1342,1829,1119,1265,1457,1929
Sweden,per million inhabitant,3188,17183,18923,19777,25502,19123,21352,22873,29771,21212,24138,26353,35369,23040,25996,28931,38185,24703,27481,31122,40097
