Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-02-17,BR,Brazil,AMRO,32197,9866710,528,239773
2021-02-18,BR,Brazil,AMRO,55271,9921981,1167,240940
2021-02-19,BR,Brazil,AMRO,56766,9978747,1150,242090
2021-02-20,BR,Brazil,AMRO,51879,10030626,1367,243457
2021-02-21,BR,Brazil,AMRO,51050,10081676,1308,244765
2021-02-22,BR,Brazil,AMRO,57472,10139148,1212,245977
2021-02-23,BR,Brazil,AMRO,29026,10168174,527,246504
2021-02-24,BR,Brazil,AMRO,26986,10195160,639,247143
2021-02-25,BR,Brazil,AMRO,62715,10257875,1386,248529
2021-02-26,BR,Brazil,AMRO,66588,10324463,1428,249957
2021-02-27,BR,Brazil,AMRO,65998,10390461,1541,251498
2021-02-28,BR,Brazil,AMRO,65169,10455630,1337,252835
2021-03-01,BR,Brazil,AMRO,61602,10517232,1386,254221
2021-03-02,BR,Brazil,AMRO,34027,10551259,721,254942
2021-03-03,BR,Brazil,AMRO,35742,10587001,778,255720
2021-03-04,BR,Brazil,AMRO,59925,10646926,1641,257361
2021-03-05,BR,Brazil,AMRO,71704,10718630,1910,259271
2021-03-06,BR,Brazil,AMRO,75102,10793732,1699,260970
2021-03-07,BR,Brazil,AMRO,75495,10869227,1800,262770
2021-03-08,BR,Brazil,AMRO,69609,10938836,1555,264325
2021-03-09,BR,Brazil,AMRO,80508,11019344,1086,265411
2021-03-10,BR,Brazil,AMRO,32321,11051665,987,266398
2021-03-11,BR,Brazil,AMRO,70764,11122429,1972,268370
2021-03-12,BR,Brazil,AMRO,79876,11202305,2286,270656
2021-03-13,BR,Brazil,AMRO,75412,11277717,2233,272889
2021-03-14,BR,Brazil,AMRO,85663,11363380,2216,275105
2021-03-15,BR,Brazil,AMRO,76178,11439558,1997,277102
2021-03-16,BR,Brazil,AMRO,43812,11483370,1127,278229
2021-03-17,BR,Brazil,AMRO,36239,11519609,1057,279286
2021-03-18,BR,Brazil,AMRO,83926,11603535,2841,282127
2021-03-19,BR,Brazil,AMRO,90303,11693838,2648,284775
2021-03-20,BR,Brazil,AMRO,86982,11780820,2724,287499
2021-03-21,BR,Brazil,AMRO,90570,11871390,2815,290314
2021-03-22,BR,Brazil,AMRO,79069,11950459,2438,292752
2021-03-23,BR,Brazil,AMRO,47774,11998233,1290,294042
2021-03-24,BR,Brazil,AMRO,49293,12047526,1383,295425
2021-03-25,BR,Brazil,AMRO,82493,12130019,3251,298676
2021-03-26,BR,Brazil,AMRO,89992,12220011,2009,300685
2021-03-27,BR,Brazil,AMRO,100158,12320169,2777,303462
2021-03-28,BR,Brazil,AMRO,84245,12404414,3650,307112
2021-03-29,BR,Brazil,AMRO,85948,12490362,3438,310550
2021-03-30,BR,Brazil,AMRO,44326,12534688,1656,312206
2021-03-31,BR,Brazil,AMRO,38927,12573615,1660,313866
2021-04-01,BR,Brazil,AMRO,84494,12658109,3780,317646
2021-04-02,BR,Brazil,AMRO,90638,12748747,3869,321515
2021-04-03,BR,Brazil,AMRO,91097,12839844,3769,325284
2021-04-04,BR,Brazil,AMRO,70238,12910082,2922,328206
2021-04-05,BR,Brazil,AMRO,43515,12953597,1987,330193
2021-04-06,BR,Brazil,AMRO,31359,12984956,1240,331433
2021-04-07,BR,Brazil,AMRO,28645,13013601,1319,332752
2021-04-08,BR,Brazil,AMRO,86979,13100580,4195,336947
2021-04-09,BR,Brazil,AMRO,92625,13193205,3829,340776
2021-04-10,BR,Brazil,AMRO,86652,13279857,4249,345025
2021-04-11,BR,Brazil,AMRO,93317,13373174,3693,348718
2021-04-12,BR,Brazil,AMRO,71832,13445006,2616,351334
2021-04-13,BR,Brazil,AMRO,37017,13482023,1803,353137
2021-04-14,BR,Brazil,AMRO,35785,13517808,1480,354617
