Country,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Hungary,1290050,401869,405202,408095,426099,411541,421155,426721,461585,424917,438381,448490,499199,439370,454891,470344,534753,454415,470664,492023,569108
Iceland,21229,5870,5912,5948,6172,5991,6110,6180,6614,6157,6325,6451,7083,6337,6531,6723,7526,6525,6727,6994,7954
India,35309264,14185540,14298579,14396661,15007185,14513520,14839540,15028287,16210527,14967103,15423664,15766484,17486051,15457217,15983522,16507567,18691688,15967408,16518419,17242702,19856660
Indonesia,4341290,1449477,1462812,1474382,1546401,1488167,1526625,1548890,1688350,1541673,1595530,1635970,1838815,1599488,1661572,1723390,1981035,1659671,1724670,1810109,2118459
Iran (Islamic Republic of),6318729,2001527,2019157,2034454,2129674,2052680,2103527,2132965,2317351,2123422,2194629,2248097,2516287,2199862,2281947,2363679,2704323,2279434,2365371,2478333,2886016
Iraq,2129642,793923,800193,805634,839501,812117,830202,840672,906253,837278,862604,881621,977010,864466,893661,922731,1043889,892767,923333,963510,1108513
Ireland,671838,174792,176259,177532,185455,179048,183279,185729,201071,184935,190860,195309,217624,191295,198125,204926,233270,197916,205067,214466,248389
Israel,1381358,543308,547320,550801,572469,554948,566519,573217,615176,571046,587250,599416,660444,588440,607119,625718,703233,606547,626103,651808,744578
Italy,5586017,2254838,2271459,2285880,2375650,2303063,2351000,2378753,2552586,2369757,2436888,2487295,2740136,2441822,2519208,2596262,2917409,2516838,2597858,2704354,3088703
Jamaica,94244,29340,29608,29841,31291,30118,30893,31341,34149,31196,32280,33094,37178,32360,33609,34854,40041,33571,34880,36600,42808
Japan,1768804,529062,534224,538702,566581,544038,558926,567545,621530,564751,585599,601253,679775,587131,611164,635094,734828,610428,635589,668662,788025
Jersey,16688,3648,3685,3717,3916,3755,3861,3923,4309,3903,4052,4164,4725,4063,4234,4405,5118,4229,4409,4645,5498
